sti,tempo,mode,articulation,metre
mot,133,minor,Staccato,4/4
mot,116,minor,Staccato,4/4
mot,116,minor,Legato,4/4
mot,110,minor,Legato,4/4
mot,110,minor,Staccato,4/4
mot,120,major,Staccato,4/4
mot,116,minor,Legato,4/4
mot,124,minor,Staccato,4/4
mot,127,minor,Staccato,4/4
mid,66,major,Staccato,4/4
mid,114,major,Legato,4/4
mid,115,major,Legato,4/4
mid,60,minor,Legato,4/4
mid,109,major,Legato,4/4
mid,76,major,Legato,4/4
mid,123,major,Staccato,4/4
mid,85,major,Legato,4/4
mid,88,major,Legato,4/4
rel,47,minor,Legato,4/4
rel,35,major,Legato,4/4
rel,58,major,Legato,4/4
rel,66,major,Legato,4/4
rel,99,major,Staccato,6/8
rel,109,minor,Legato,3/4
rel,40,major,Staccato,4/4
rel,85,major,Legato,3/4
rel,42,minor,Legato,4/4
